Row Labels,Sum of Sales,,Row Labels,Sum of Sales,,Row Labels,Sum of Sales,,Row Labels,Sum of Sales
2014,484247.4981,,Furniture,741999.7953,,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,,Central,501239.8908
2015,470532.509,,Office Supplies,719047.032,,HON 5400 Series Task Chairs for Big and Tall,21870.576,,East,678781.24
2016,609205.598,,Technology,836154.033,,High Speed Automatic Electric Letter Opener,17030.312,,South,391721.905
2017,733215.2552,,Grand Total,2297200.86,,Hewlett Packard LaserJet 3310 Copier,18839.686,,West,725457.8245
Grand Total,2297200.86,,,,,GBC Ibimaster 500 Manual ProClick Binding System,19024.5,,Grand Total,2297200.86
,,,Sales by Category,,,GBC DocuBind TL300 Electric Binding System,19823.479,,,
,,,,,,GBC DocuBind P400 Electric Binding System,17965.068,,,
Sales by Year ,,,,,,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384,,Sales by Region,
,,,,,,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,,,
,,,,,,Canon imageCLASS 2200 Advanced Copier,61599.824,,,
,,,,,,Grand Total,244620.204,,,
Row Labels,Sum of Profit,,,,,,,,,
Central,39706.3625,,,,,Sales by Product,,,,
East,91522.78,,,,,,,,,
South,46749.4303,,,,,,,,,
West,108418.4489,,,,,,,,,
Grand Total,286397.0217,,,,,,,,,
,,,,,,,,,,
Profit Analysis,,,,,,,,,,
